Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,VAL
2008-01-18,19,,,62.000000,35.000000,21.000000,,28.000000
2008-01-18,20,,,60.000000,35.000000,17.000000,,28.000000
2008-01-18,21,,,58.000000,42.000000,16.000000,,26.000000
2008-01-18,22,,,56.000000,40.000000,16.000000,,27.000000
2008-01-18,23,,,57.000000,43.000000,16.000000,,28.000000
2008-01-19,00,,,57.000000,48.000000,8.000000,,27.000000
2008-01-19,01,,,57.000000,41.000000,7.000000,,25.000000
2008-01-19,02,,,57.000000,30.000000,6.000000,,24.000000
2008-01-19,03,,,54.000000,29.000000,6.000000,,24.000000
2008-01-19,04,,,65.000000,30.000000,10.000000,,22.000000
2008-01-19,05,,,61.000000,35.000000,5.000000,,26.000000
2008-01-19,06,,,55.000000,41.000000,1.000000,,23.000000
2008-01-19,07,,,58.000000,45.000000,4.000000,,27.000000
2008-01-19,08,,,59.000000,56.000000,6.000000,,31.000000
2008-01-19,09,,,63.000000,47.000000,27.000000,,37.000000
2008-01-19,10,,,56.000000,31.000000,43.000000,,41.000000
2008-01-19,11,,,49.000000,20.000000,50.000000,,22.000000
2008-01-19,12,,,48.000000,17.000000,40.000000,,34.000000
2008-01-19,13,,,52.000000,17.000000,21.000000,,34.000000
2008-01-19,14,,,53.000000,26.000000,29.000000,,23.000000
2008-01-19,15,,,48.000000,26.000000,8.000000,,9.000000
2008-01-19,16,,,39.000000,21.000000,7.000000,,8.000000
2008-01-19,17,,,47.000000,21.000000,11.000000,,11.000000
2008-01-19,18,,,50.000000,36.000000,15.000000,,22.000000
2008-01-19,19,,,59.000000,28.000000,16.000000,,26.000000
2008-01-19,20,,,55.000000,36.000000,20.000000,,15.000000
2008-01-19,21,,,57.000000,33.000000,16.000000,,25.000000
2008-01-19,22,,,57.000000,33.000000,19.000000,,26.000000
2008-01-19,23,,,56.000000,43.000000,13.000000,,23.000000
2008-01-20,00,,,54.000000,51.000000,7.000000,,25.000000
2008-01-20,01,,,56.000000,42.000000,13.000000,,26.000000
2008-01-20,02,,,56.000000,31.000000,16.000000,,24.000000
2008-01-20,03,,,54.000000,36.000000,18.000000,,22.000000
2008-01-20,04,,,55.000000,31.000000,14.000000,,21.000000
2008-01-20,05,,,54.000000,27.000000,14.000000,,19.000000
2008-01-20,06,,,53.000000,30.000000,13.000000,,21.000000
2008-01-20,07,,,53.000000,27.000000,13.000000,,24.000000
2008-01-20,08,,,56.000000,30.000000,14.000000,,25.000000
2008-01-20,09,,,46.000000,19.000000,21.000000,,25.000000
2008-01-20,10,,,41.000000,19.000000,16.000000,,15.000000
2008-01-20,11,,,42.000000,14.000000,12.000000,,20.000000
2008-01-20,12,,,41.000000,10.000000,9.000000,,18.000000
2008-01-20,13,,,39.000000,8.000000,10.000000,,10.000000
2008-01-20,14,,,39.000000,9.000000,9.000000,,8.000000
2008-01-20,15,,,37.000000,9.000000,6.000000,,5.000000
2008-01-20,16,,,35.000000,7.000000,4.000000,,5.000000
2008-01-20,17,,,36.000000,11.000000,5.000000,,9.000000
2008-01-20,18,,,39.000000,19.000000,6.000000,,14.000000
2008-01-20,19,,,45.000000,25.000000,9.000000,,19.000000
2008-01-20,20,,,48.000000,27.000000,13.000000,,21.000000
2008-01-20,21,,,49.000000,26.000000,14.000000,,18.000000
2008-01-20,22,,,48.000000,27.000000,8.000000,,17.000000
