Fecha,Hora,AGU,CEN,LDO,MIR,OBL,VAL
2009-01-08,19,55.000000,80.000000,79.000000,68.000000,60.000000,59.000000
2009-01-08,20,51.000000,75.000000,85.000000,56.000000,69.000000,59.000000
2009-01-08,21,53.000000,74.000000,101.000000,52.000000,41.000000,60.000000
2009-01-08,22,60.000000,67.000000,90.000000,60.000000,44.000000,60.000000
2009-01-08,23,46.000000,60.000000,87.000000,57.000000,140.000000,57.000000
2009-01-09,00,41.000000,68.000000,92.000000,52.000000,107.000000,53.000000
2009-01-09,01,42.000000,68.000000,83.000000,47.000000,139.000000,48.000000
2009-01-09,02,21.000000,64.000000,86.000000,44.000000,118.000000,44.000000
2009-01-09,03,28.000000,60.000000,66.000000,45.000000,86.000000,46.000000
2009-01-09,04,28.000000,60.000000,42.000000,41.000000,80.000000,50.000000
2009-01-09,05,31.000000,62.000000,44.000000,38.000000,57.000000,50.000000
2009-01-09,06,39.000000,53.000000,61.000000,38.000000,52.000000,50.000000
2009-01-09,07,35.000000,49.000000,81.000000,39.000000,69.000000,50.000000
2009-01-09,08,42.000000,60.000000,88.000000,44.000000,99.000000,59.000000
2009-01-09,09,68.000000,60.000000,98.000000,57.000000,97.000000,87.000000
2009-01-09,10,103.000000,76.000000,74.000000,36.000000,84.000000,107.000000
2009-01-09,11,50.000000,72.000000,51.000000,29.000000,79.000000,66.000000
2009-01-09,12,44.000000,70.000000,42.000000,15.000000,78.000000,59.000000
2009-01-09,13,26.000000,64.000000,48.000000,17.000000,80.000000,55.000000
2009-01-09,14,23.000000,45.000000,46.000000,12.000000,77.000000,51.000000
2009-01-09,15,16.000000,38.000000,26.000000,10.000000,58.000000,39.000000
2009-01-09,16,11.000000,27.000000,58.000000,8.000000,47.000000,29.000000
2009-01-09,17,17.000000,28.000000,59.000000,14.000000,49.000000,29.000000
2009-01-09,18,37.000000,54.000000,76.000000,28.000000,58.000000,35.000000
2009-01-09,19,47.000000,60.000000,92.000000,44.000000,74.000000,50.000000
2009-01-09,20,36.000000,43.000000,71.000000,45.000000,73.000000,38.000000
2009-01-09,21,21.000000,43.000000,62.000000,32.000000,66.000000,32.000000
2009-01-09,22,14.000000,45.000000,76.000000,27.000000,64.000000,33.000000
2009-01-09,23,16.000000,44.000000,78.000000,33.000000,59.000000,30.000000
2009-01-10,00,22.000000,41.000000,62.000000,31.000000,51.000000,28.000000
2009-01-10,01,32.000000,42.000000,49.000000,28.000000,55.000000,32.000000
2009-01-10,02,24.000000,39.000000,46.000000,29.000000,49.000000,36.000000
2009-01-10,03,40.000000,39.000000,40.000000,28.000000,43.000000,45.000000
2009-01-10,04,33.000000,38.000000,42.000000,28.000000,44.000000,48.000000
2009-01-10,05,23.000000,44.000000,51.000000,28.000000,50.000000,50.000000
2009-01-10,06,35.000000,48.000000,52.000000,29.000000,44.000000,50.000000
2009-01-10,07,37.000000,43.000000,59.000000,30.000000,42.000000,51.000000
2009-01-10,08,42.000000,43.000000,79.000000,34.000000,66.000000,58.000000
2009-01-10,09,89.000000,49.000000,89.000000,53.000000,78.000000,61.000000
2009-01-10,10,105.000000,44.000000,58.000000,54.000000,74.000000,53.000000
2009-01-10,11,61.000000,34.000000,40.000000,41.000000,72.000000,42.000000
2009-01-10,12,18.000000,32.000000,39.000000,,55.000000,30.000000
2009-01-10,13,19.000000,22.000000,39.000000,,46.000000,23.000000
2009-01-10,14,9.000000,16.000000,40.000000,,45.000000,22.000000
2009-01-10,15,9.000000,16.000000,32.000000,,44.000000,20.000000
2009-01-10,16,9.000000,15.000000,32.000000,,45.000000,22.000000
2009-01-10,17,9.000000,22.000000,42.000000,,47.000000,22.000000
2009-01-10,18,25.000000,41.000000,68.000000,,53.000000,28.000000
2009-01-10,19,37.000000,51.000000,70.000000,,60.000000,38.000000
2009-01-10,20,24.000000,39.000000,72.000000,,77.000000,32.000000
2009-01-10,21,24.000000,26.000000,49.000000,,66.000000,27.000000
2009-01-10,22,18.000000,32.000000,64.000000,,59.000000,26.000000
2009-01-10,23,15.000000,40.000000,69.000000,,54.000000,26.000000
2009-01-11,00,18.000000,39.000000,64.000000,,57.000000,32.000000
2009-01-11,01,38.000000,43.000000,57.000000,,56.000000,40.000000
2009-01-11,02,33.000000,45.000000,43.000000,,34.000000,36.000000
2009-01-11,03,34.000000,39.000000,40.000000,,65.000000,38.000000
2009-01-11,04,33.000000,46.000000,38.000000,,61.000000,45.000000
2009-01-11,05,30.000000,39.000000,45.000000,,65.000000,44.000000
2009-01-11,06,30.000000,35.000000,45.000000,,57.000000,45.000000
2009-01-11,07,31.000000,35.000000,47.000000,,51.000000,43.000000
2009-01-11,08,32.000000,45.000000,66.000000,,68.000000,48.000000
2009-01-11,09,42.000000,37.000000,63.000000,,64.000000,58.000000
2009-01-11,10,37.000000,20.000000,44.000000,,53.000000,46.000000
2009-01-11,11,26.000000,15.000000,32.000000,,50.000000,34.000000
2009-01-11,12,27.000000,14.000000,30.000000,,44.000000,29.000000
2009-01-11,13,22.000000,14.000000,23.000000,,40.000000,30.000000
2009-01-11,14,25.000000,19.000000,19.000000,,46.000000,29.000000
2009-01-11,15,20.000000,24.000000,31.000000,,47.000000,29.000000
2009-01-11,16,19.000000,20.000000,48.000000,,47.000000,28.000000
2009-01-11,17,16.000000,19.000000,57.000000,,45.000000,25.000000
2009-01-11,18,21.000000,33.000000,67.000000,,50.000000,28.000000
2009-01-11,19,41.000000,54.000000,78.000000,,64.000000,40.000000
2009-01-11,20,37.000000,49.000000,85.000000,,81.000000,37.000000
2009-01-11,21,26.000000,40.000000,90.000000,,86.000000,32.000000
2009-01-11,22,22.000000,43.000000,83.000000,,75.000000,28.000000
2009-01-11,23,29.000000,42.000000,74.000000,,63.000000,26.000000
2009-01-12,00,39.000000,47.000000,63.000000,,54.000000,34.000000
2009-01-12,01,31.000000,42.000000,53.000000,,61.000000,35.000000
2009-01-12,02,34.000000,38.000000,53.000000,,46.000000,39.000000
2009-01-12,03,34.000000,35.000000,33.000000,,45.000000,27.000000
2009-01-12,04,35.000000,36.000000,25.000000,,52.000000,23.000000
2009-01-12,05,33.000000,37.000000,38.000000,,55.000000,23.000000
2009-01-12,06,32.000000,38.000000,50.000000,,49.000000,30.000000
2009-01-12,07,29.000000,38.000000,50.000000,,54.000000,45.000000
2009-01-12,08,33.000000,40.000000,58.000000,,72.000000,53.000000
2009-01-12,09,51.000000,39.000000,56.000000,,81.000000,64.000000
2009-01-12,10,74.000000,33.000000,37.000000,,65.000000,92.000000
2009-01-12,11,67.000000,27.000000,30.000000,,58.000000,79.000000
2009-01-12,12,47.000000,34.000000,31.000000,,56.000000,67.000000
2009-01-12,13,42.000000,39.000000,33.000000,,56.000000,62.000000
2009-01-12,14,23.000000,33.000000,31.000000,,63.000000,48.000000
2009-01-12,15,15.000000,28.000000,25.000000,,63.000000,28.000000
2009-01-12,16,10.000000,18.000000,32.000000,,59.000000,23.000000
2009-01-12,17,9.000000,23.000000,28.000000,,47.000000,26.000000
2009-01-12,18,27.000000,37.000000,42.000000,,52.000000,36.000000
2009-01-12,19,38.000000,45.000000,73.000000,,57.000000,48.000000
2009-01-12,20,37.000000,47.000000,80.000000,,70.000000,45.000000
2009-01-12,21,28.000000,36.000000,83.000000,,81.000000,34.000000
2009-01-12,22,17.000000,38.000000,68.000000,,73.000000,29.000000
2009-01-12,23,21.000000,39.000000,51.000000,,47.000000,41.000000
2009-01-13,00,34.000000,38.000000,41.000000,,66.000000,45.000000
2009-01-13,01,34.000000,37.000000,40.000000,,71.000000,41.000000
2009-01-13,02,33.000000,35.000000,41.000000,,52.000000,40.000000
2009-01-13,03,29.000000,33.000000,35.000000,,58.000000,41.000000
2009-01-13,04,26.000000,33.000000,27.000000,,54.000000,33.000000
2009-01-13,05,28.000000,34.000000,33.000000,,48.000000,34.000000
2009-01-13,06,30.000000,36.000000,45.000000,,59.000000,38.000000
2009-01-13,07,28.000000,38.000000,56.000000,,64.000000,45.000000
2009-01-13,08,37.000000,35.000000,59.000000,,58.000000,42.000000
2009-01-13,09,28.000000,24.000000,50.000000,,51.000000,32.000000
2009-01-13,10,34.000000,18.000000,35.000000,,53.000000,27.000000
2009-01-13,11,22.000000,12.000000,30.000000,,46.000000,23.000000
2009-01-13,12,22.000000,10.000000,29.000000,,46.000000,23.000000
2009-01-13,13,23.000000,10.000000,33.000000,,48.000000,23.000000
2009-01-13,14,24.000000,11.000000,28.000000,,47.000000,25.000000
2009-01-13,15,23.000000,10.000000,23.000000,,43.000000,26.000000
2009-01-13,16,23.000000,17.000000,24.000000,,49.000000,27.000000
2009-01-13,17,28.000000,36.000000,25.000000,,58.000000,37.000000
2009-01-13,18,41.000000,48.000000,36.000000,,71.000000,47.000000
2009-01-13,19,42.000000,51.000000,42.000000,,71.000000,56.000000
2009-01-13,20,48.000000,49.000000,57.000000,,68.000000,60.000000
2009-01-13,21,48.000000,50.000000,69.000000,,92.000000,61.000000
2009-01-13,22,45.000000,47.000000,56.000000,,83.000000,61.000000
2009-01-13,23,44.000000,42.000000,39.000000,,67.000000,57.000000
2009-01-14,00,41.000000,38.000000,36.000000,,57.000000,53.000000
2009-01-14,01,36.000000,31.000000,30.000000,,49.000000,51.000000
2009-01-14,02,30.000000,29.000000,25.000000,,43.000000,45.000000
2009-01-14,03,27.000000,31.000000,20.000000,,42.000000,37.000000
2009-01-14,04,30.000000,27.000000,23.000000,,41.000000,35.000000
2009-01-14,05,30.000000,26.000000,31.000000,,43.000000,31.000000
2009-01-14,06,28.000000,31.000000,33.000000,,44.000000,34.000000
2009-01-14,07,27.000000,32.000000,48.000000,,46.000000,44.000000
2009-01-14,08,32.000000,32.000000,54.000000,,67.000000,45.000000
2009-01-14,09,39.000000,29.000000,50.000000,,71.000000,52.000000
2009-01-14,10,39.000000,25.000000,38.000000,,55.000000,53.000000
2009-01-14,11,42.000000,20.000000,30.000000,,51.000000,43.000000
2009-01-14,12,37.000000,18.000000,23.000000,,47.000000,41.000000
2009-01-14,13,27.000000,19.000000,20.000000,,48.000000,39.000000
2009-01-14,14,19.000000,20.000000,21.000000,,50.000000,32.000000
2009-01-14,15,15.000000,15.000000,19.000000,,51.000000,35.000000
2009-01-14,16,12.000000,23.000000,21.000000,,49.000000,27.000000
2009-01-14,17,17.000000,29.000000,27.000000,,50.000000,31.000000
2009-01-14,18,35.000000,34.000000,39.000000,,57.000000,48.000000
